place_id,place_name,formatted_address,latitude,longitude,place_rating,place_review_count,review_name,review_rating,review_published_utc,review_relative_time,review_text,review_original_text,review_maps_uri
ChIJYczaQt4PZ0gRsN10i1TxJk8,El Grito Mexican Taqueria Mountjoy Square,"20 Mountjoy Square E, Mountjoy, Dublin, D01 K3T1, Ireland",53.3573937,-6.2566582,4.5,3570,places/ChIJYczaQt4PZ0gRsN10i1TxJk8/reviews/Ci9DQUlRQUNvZENodHljRjlvT2taS1Uwb3RhblZJTVRkZmRtUTBOVWRrV2sxc05HYxAB,5,2025-09-23T17:56:40.627367620Z,4 months ago,"Had been to El Grito recently and loved it! The nachos were the highlight - tasty, filling, and full of flavor. The chimichanga was a great addition too, really delicious and satisfying. The chicken and Mexican rice soup with crispy nachos was hearty and comforting. Washed it all down with a refreshing Mexican mojito. The place has a lovely authentic Mexican vibe, and the staff were super cheerful and friendly. Great food, great atmosphere ,will definitely be back! 🌮✨","Had been to El Grito recently and loved it! The nachos were the highlight - tasty, filling, and full of flavor. The chimichanga was a great addition too, really delicious and satisfying. The chicken and Mexican rice soup with crispy nachos was hearty and comforting. Washed it all down with a refreshing Mexican mojito. The place has a lovely authentic Mexican vibe, and the staff were super cheerful and friendly. Great food, great atmosphere ,will definitely be back! 🌮✨",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2taS1Uwb3RhblZJTVRkZmRtUTBOVWRrV2sxc05HYxAB!2m1!1s0x48670fde42dacc61:0x4f26f1548b74ddb0
ChIJYczaQt4PZ0gRsN10i1TxJk8,El Grito Mexican Taqueria Mountjoy Square,"20 Mountjoy Square E, Mountjoy, Dublin, D01 K3T1, Ireland",53.3573937,-6.2566582,4.5,3570,places/ChIJYczaQt4PZ0gRsN10i1TxJk8/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xaNVNsQTFUR05CWTBGQlpFaGxlRGxNYlhoNGVFRRAB,5,2025-09-26T20:34:30.970086608Z,4 months ago,"I’ve just been to this Mexican restaurant in the middle of nowhere, and honestly, it blew me away. From the moment you walk in, the atmosphere, the music, the smells, the sounds, and the people make it feel absolutely mesmerizing.

Looking at the menu, I genuinely felt like I was back in Mexico. Every dish was bursting with flavor—tasty, fresh, and authentic. The guacamole was incredible, and the cocktail was spot on.

While I was there, I noticed two birthday parties being celebrated, and the staff were just amazing—so happy, welcoming, and full of energy. You can tell they really enjoy what they do.

It’s not a massive restaurant, but maybe that’s what makes it so special. It’s a hidden gem. If you want real Mexican food and the feeling of being in Mexico without leaving town, you need to visit this place.
Plus we were welcomed without a reservation !!!!!","I’ve just been to this Mexican restaurant in the middle of nowhere, and honestly, it blew me away. From the moment you walk in, the atmosphere, the music, the smells, the sounds, and the people make it feel absolutely mesmerizing.

Looking at the menu, I genuinely felt like I was back in Mexico. Every dish was bursting with flavor—tasty, fresh, and authentic. The guacamole was incredible, and the cocktail was spot on.

While I was there, I noticed two birthday parties being celebrated, and the staff were just amazing—so happy, welcoming, and full of energy. You can tell they really enjoy what they do.

It’s not a massive restaurant, but maybe that’s what makes it so special. It’s a hidden gem. If you want real Mexican food and the feeling of being in Mexico without leaving town, you need to visit this place.
Plus we were welcomed without a reservation !!!!!",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xaNVNsQTFUR05CWTBGQlpFaGxlRGxNYlhoNGVFRRAB!2m1!1s0x48670fde42dacc61:0x4f26f1548b74ddb0
ChIJYczaQt4PZ0gRsN10i1TxJk8,El Grito Mexican Taqueria Mountjoy Square,"20 Mountjoy Square E, Mountjoy, Dublin, D01 K3T1, Ireland",53.3573937,-6.2566582,4.5,3570,places/ChIJYczaQt4PZ0gRsN10i1TxJk8/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xsQ2IxcGZWM3BIV2tsVFFYZHhaMWcwZEhNeFYyYxAB,5,2025-09-26T15:57:09.182557435Z,4 months ago,"El Grito is a fantastic Mexican restaurant in Dublin!
The atmosphere is warm and welcoming, with charming décor that makes you feel right at home. The staff are always smiling and friendly, which adds to the pleasant experience.

I had a delicious burrito, paired with a Michelada — absolutely amazing!
The food is full of authentic flavors, the service is quick and efficient, and prices are fair and perfectly aligned with the quality offered. Highly recommended!","El Grito is a fantastic Mexican restaurant in Dublin!
The atmosphere is warm and welcoming, with charming décor that makes you feel right at home. The staff are always smiling and friendly, which adds to the pleasant experience.

I had a delicious burrito, paired with a Michelada — absolutely amazing!
The food is full of authentic flavors, the service is quick and efficient, and prices are fair and perfectly aligned with the quality offered. Highly recommended!",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xsQ2IxcGZWM3BIV2tsVFFYZHhaMWcwZEhNeFYyYxAB!2m1!1s0x48670fde42dacc61:0x4f26f1548b74ddb0
ChIJYczaQt4PZ0gRsN10i1TxJk8,El Grito Mexican Taqueria Mountjoy Square,"20 Mountjoy Square E, Mountjoy, Dublin, D01 K3T1, Ireland",53.3573937,-6.2566582,4.5,3570,places/ChIJYczaQt4PZ0gRsN10i1TxJk8/reviews/Ci9DQUlRQUNvZENodHljRjlvT25OSk0zUkNkbU5xT1dkdE9IYzJiR3d0VmpGWGFGRRAB,5,2026-01-14T20:58:17.673697072Z,a month ago,"Absolutely delicious churros and tacos, would recommend! The sauces are all great as well. Cool decorations in the back area and clean bathrooms :)","Absolutely delicious churros and tacos, would recommend! The sauces are all great as well. Cool decorations in the back area and clean bathrooms :)",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25OSk0zUkNkbU5xT1dkdE9IYzJiR3d0VmpGWGFGRRAB!2m1!1s0x48670fde42dacc61:0x4f26f1548b74ddb0
ChIJYczaQt4PZ0gRsN10i1TxJk8,El Grito Mexican Taqueria Mountjoy Square,"20 Mountjoy Square E, Mountjoy, Dublin, D01 K3T1, Ireland",53.3573937,-6.2566582,4.5,3570,places/ChIJYczaQt4PZ0gRsN10i1TxJk8/reviews/Ci9DQUlRQUNvZENodHljRjlvT21sb1dWZFRSMFpVT0dSV05uVlBNVFZITkdSWU9HYxAB,5,2025-10-23T18:13:47.271069450Z,3 months ago,"We tried the Tacos with chilli con carne, Alambre with barbacoa beef, and Burrito with Mexican beef; all were delicious! The sauces were spot on, nice and spicy.

The restaurant feels so cozy and genuinely Mexican. Perfect spot for good food and good vibes!","We tried the Tacos with chilli con carne, Alambre with barbacoa beef, and Burrito with Mexican beef; all were delicious! The sauces were spot on, nice and spicy.

The restaurant feels so cozy and genuinely Mexican. Perfect spot for good food and good vibes!",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21sb1dWZFRSMFpVT0dSV05uVlBNVFZITkdSWU9HYxAB!2m1!1s0x48670fde42dacc61:0x4f26f1548b74ddb0
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,Kalabasa Market,"60-61 Middle Abbey St, North City, Dublin 1, D01 Y4N8, Ireland",53.3480637,-6.2616815,4.8,8753,places/ChIJnQZz4IoPZ0gR1gaZGzDmaRU/reviews/Ci9DQUlRQUNvZENodHljRjlvT21oelZFcG1kMWhXV21wUWRHcE5Tazl3ZUhsQ2NWRRAB,3,2025-10-31T13:07:11.591433548Z,3 months ago,"We had a lovely first visit to your restaurant. The vibe was great, and the staff were very attentive. As it was my first time trying the dish I ordered, I don't feel I can fairly comment on the food itself.

The only thing that gave me pause was the 10% mandatory service charge for group of four or more.I personally prefer the freedom to leave a tip based on the service experience. This policy was the main reason for my 3-star rating on this occasion. Perhaps it's just my lack of familiarity with this practice.","We had a lovely first visit to your restaurant. The vibe was great, and the staff were very attentive. As it was my first time trying the dish I ordered, I don't feel I can fairly comment on the food itself.

The only thing that gave me pause was the 10% mandatory service charge for group of four or more.I personally prefer the freedom to leave a tip based on the service experience. This policy was the main reason for my 3-star rating on this occasion. Perhaps it's just my lack of familiarity with this practice.",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21oelZFcG1kMWhXV21wUWRHcE5Tazl3ZUhsQ2NWRRAB!2m1!1s0x48670f8ae073069d:0x1569e6301b9906d6
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,Kalabasa Market,"60-61 Middle Abbey St, North City, Dublin 1, D01 Y4N8, Ireland",53.3480637,-6.2616815,4.8,8753,places/ChIJnQZz4IoPZ0gR1gaZGzDmaRU/reviews/Ci9DQUlRQUNvZENodHljRjlvT25VdGFIWkpUMUpVWjNVeVkzQjFjMUJpWnpkbVRVRRAB,2,2025-09-02T13:49:26.910295098Z,5 months ago,"To start with the positive, the staff were really friendly.

Unfortunately, for me, it was a rip-off. My burger was cold and it came with a pile of lettuce and a few pieces of chopped tomato as an excuse for a salad. No dressing or anything. In the photo, you’ll see there are some beans that my mate gave me in sympathy.

The waiter offered to replace it straight away, so no complaints about the wait staff.

The burger itself was straight out of the freezer. It cost 14€, which is outrageous. Won’t be returning.","To start with the positive, the staff were really friendly.

Unfortunately, for me, it was a rip-off. My burger was cold and it came with a pile of lettuce and a few pieces of chopped tomato as an excuse for a salad. No dressing or anything. In the photo, you’ll see there are some beans that my mate gave me in sympathy.

The waiter offered to replace it straight away, so no complaints about the wait staff.

The burger itself was straight out of the freezer. It cost 14€, which is outrageous. Won’t be returning.",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25VdGFIWkpUMUpVWjNVeVkzQjFjMUJpWnpkbVRVRRAB!2m1!1s0x48670f8ae073069d:0x1569e6301b9906d6
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,Kalabasa Market,"60-61 Middle Abbey St, North City, Dublin 1, D01 Y4N8, Ireland",53.3480637,-6.2616815,4.8,8753,places/ChIJnQZz4IoPZ0gR1gaZGzDmaRU/reviews/Ci9DQUlRQUNvZENodHljRjlvT210U01XUTNRWGRwZUVKeWRVTlBZbk5LUTBoNVJVRRAB,2,2025-06-26T20:01:04.150910936Z,7 months ago,"I was looking forward to dining at Kalabasa Market, but my experience left quite a bit to be desired.
It felt like seating was reserved for those who personally knew the staff—walk-ins like us were left waiting while others were quickly accommodated.
Once we were finally seated, the table was still covered in crumbs and spills from previous guests. Even after 20 minutes, no one came to clean it, despite us asking three times.
Service was frustratingly slow, and as a non-Spanish speaker, I felt somewhat dismissed rather than welcomed.
It’s a shame, because the place has potential.
I hope they consider improving accessibility, hospitality, and basic service for all guests.","I was looking forward to dining at Kalabasa Market, but my experience left quite a bit to be desired.
It felt like seating was reserved for those who personally knew the staff—walk-ins like us were left waiting while others were quickly accommodated.
Once we were finally seated, the table was still covered in crumbs and spills from previous guests. Even after 20 minutes, no one came to clean it, despite us asking three times.
Service was frustratingly slow, and as a non-Spanish speaker, I felt somewhat dismissed rather than welcomed.
It’s a shame, because the place has potential.
I hope they consider improving accessibility, hospitality, and basic service for all guests.",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT210U01XUTNRWGRwZUVKeWRVTlBZbk5LUTBoNVJVRRAB!2m1!1s0x48670f8ae073069d:0x1569e6301b9906d6
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,Kalabasa Market,"60-61 Middle Abbey St, North City, Dublin 1, D01 Y4N8, Ireland",53.3480637,-6.2616815,4.8,8753,places/ChIJnQZz4IoPZ0gR1gaZGzDmaRU/reviews/Ci9DQUlRQUNvZENodHljRjlvT204d05sRnhNR0V0ZDNSclEzVk5TREY2VVdSWVJWRRAB,5,2025-08-29T21:11:01.675780764Z,5 months ago,"⸻

I had a great experience at this Latin pub! The atmosphere was vibrant and welcoming, and the service was excellent. Louis was an amazing waiter – very attentive, friendly, and made sure we had everything we needed. He truly made the evening even better. Highly recommend this place!","⸻

I had a great experience at this Latin pub! The atmosphere was vibrant and welcoming, and the service was excellent. Louis was an amazing waiter – very attentive, friendly, and made sure we had everything we needed. He truly made the evening even better. Highly recommend this place!",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT204d05sRnhNR0V0ZDNSclEzVk5TREY2VVdSWVJWRRAB!2m1!1s0x48670f8ae073069d:0x1569e6301b9906d6
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,Kalabasa Market,"60-61 Middle Abbey St, North City, Dublin 1, D01 Y4N8, Ireland",53.3480637,-6.2616815,4.8,8753,places/ChIJnQZz4IoPZ0gR1gaZGzDmaRU/reviews/Ci9DQUlRQUNvZENodHljRjlvT2s5SWRXWnlRVEJ6TFdOUGNsTk5OelZ3ZDBobFEyYxAB,5,2025-12-05T22:13:54.996207761Z,2 months ago,"During my holidays in Dublin I went to that pub and it was amazing. The atmosphere and the service were exceptional. Our waitress was Elizabeth, and she was incredibly kind and helpful with us.","During my holidays in Dublin I went to that pub and it was amazing. The atmosphere and the service were exceptional. Our waitress was Elizabeth, and she was incredibly kind and helpful with us.",https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2s5SWRXWnlRVEJ6TFdOUGNsTk5OelZ3ZDBobFEyYxAB!2m1!1s0x48670f8ae073069d:0x1569e6301b9906d6
