West Gourmet Sandwiches is a Mexican restaurant in Belfast. Customer reviews say: Ordered a superfood salad online today for lunch.  Was ready for collection when I arrived and plenty of parking for pick up.  Salad was gorgeous. Massive portion and good quality tasty food. Got an Americano too which was delicious. Will definitely be going back, hidden gem of a place! | Went in at 12 today after recommendation from a friend who'd seen it on social media. Menu was vast and I couldnt really read it because other people were standing infront. Asked my very friendly server what the most popular sandwich was and she informed me the chicken supreme or harissa chicken with goats cheese. I went for the later. It was a taste sensation. My mouth is still watering. Absolutely delightful. Will definitely return. | I'm in Belfast for a few days and was recommended West's yesterday for lunch.  I got their special (no photo unfortunately) and it was absolutely fantastic. So much so IV gone back today and got the same sandwich, but in a baguette (yesterday's was in focaccia).  The staff are super friendly and the sandwiches are full to the brim!!  I will be going back tomorrow (if time allows).  If you're coming to Belfast and looking for a well priced lunch, that's going to keep you full until dinner, I can not recommend West's enough. | Me & my partner ordered from here for our little ones Gender Reveal and we're absolutely over the moon with the buffet we chose. We went for Menu B and opted for the satay chicken instead of the sausage rolls. Absolutely gorgeous! We had about 40 people attend and they all said how delicious and well presented it was! We will definitely use here for all our future functions! A big thank you to all of the team, from the lady who helped us book, to the kitchen and delivery guy! Thanks Joe & Bekah | We chose West to cater for a family birthday party at home. From the point of ordering the staff were extremely helpful and on the evening the food arrived bang on time. West provided an absolutely delicious and varied selection of sandwiches, wraps, mini burgers, sausages, chicken gougons, chicken skewers and vegetarian options. Highly recommend and will use again.
Common Market is a Mexican restaurant in Belfast. Customer reviews say: The place was a bit underwhelming. Loads of vendors were closed even though we were comfortably eating and drinking within the opening hours.  Food was fine (looked better than it tasted) but the bar was really really slow!  The place felt a bit lifeless and so I wouldnGÇÖt bother returning | Absolutely loved it here, lots of different food stalls so loads of choice on what to eat, I opted for the tacoGÇÖs from SicarioGÇÖs, which were huge and really tasty. The only downside in my opinion is there arenGÇÖt enough bars inside which means you can queue for a while. Great atmosphere inside and really good vibe around the place, well worth a visit! | We had so much fun here Great selection of food Plenty of seating Good location  Already looking forward to the next busy | Gorgeous food market. Would definitely recommend when in Belfast. Loads of food options for everyone. Fantastic musician/guitarist performing when we were there too.  I opted for the Mexican place and got a beef birria rice bowl which was very filling and very tasty.  Only downside is drinks only available at the bar. Could definitely do with having non alcoholic drinks like water at the stalls themselves so that you donGÇÖt have to join a long queue of people getting beers and cocktails for a cup of water. | While the entry fee is only -ú1, the state of the facilities is completely unacceptable. I headed to the restrooms immediately upon arrival and was horrified to find extensive mold and exposed, live electrical wires. Due to broken lighting, two stalls were in pitch blackness. While I understand venues struggle with upkeep, these are serious safety hazards. The overall cleanliness was so poor that I felt compelled to leave immediately. I cannot recommend this venue until they address these basic hygiene and safety standards.
The Burrito Bar is a Mexican restaurant in Belfast. Customer reviews say: Delicious food, lonely atmosphere, will be comming back here again. | Called in yesterday, amazing food and staff were extremely welcoming. Will definitely be back | I eat a lot of burritos, has there a great healthy food to eat while youGÇÖre on the move. This was one of the best burritos IGÇÖve ever had in Ireland. Thank you! | Loved it got a burrito with shredded beef and the full works not one complaint I think it might be my new regular go to takeaway | I love the burrito usually but tonight it was dry hardly any sour cream or cheese sauce on it very miserable hardly any onions or peppers was very disappointed very dry
Bright's Restaurant is a Mexican restaurant in Belfast. Customer reviews say: This place is not fancy - more of a diner style cafe - but the large breakfast fry was excellent and the service was friendly. They missed an egg off my portion and it came within 30 seconds, once I had alerted the waitperson. The coffee was fine, although the cappuccino came without chocolate on top. | The smoked cod was interesting, I liked it but it was just a bit on the salty side. The peas were soggy unfortunately. Very healthy portions though. Decent prices for what youGÇÖre getting. Staff were lovely and attentive even though it was quite busy. The place itself is nothing fancy, but itGÇÖs clean and tidy, and wasnGÇÖt loud even though it was busy and music was playing. Not sure IGÇÖd come back, but it was nice enough. | Honestly just had my worst meal IGÇÖve ever had in Belfast. Fish and chips, shouldnGÇÖt be that hard but wow did they mess it up. Came in two tiny slices, completely burnt and hardly any fish. It was straight up eating bread and batter. It was disappointing and disgusting. I had two bites and just sat there eating the chips. My partner ordered the chili chicken and he said it was just fine, didnGÇÖt fee well 45 min later. Too many places here, this was a big waste of money and time. Disgusting. | Nice enough place. They didnGÇÖt have enough cod for all 5 of us to have fish and chips which was odd but that happens. Nice enough food. -ú20 for fish and chips seems a little OTT for a basic cafe but itGÇÖs not ridiculous prices. Not one to go out your way for but if the Northern Whig wonGÇÖt let you in cos your wearing trainers then take your parties. -ú120 to them. The staff were very friendly. | Always get great honest home cooked meals here. Great selection and great chips. Went for the Christmas chips, best around in my opinion
Wok A Moley is a Mexican restaurant in Belfast. Customer reviews say: The Best Salted Chilly Chicken & Curry Sauce in Town..This place is very popular among crowds after club or night out. The food is very tasty and fresh as always, never had any issue. I always order from here and never disappoint. | Food was over priced, didnGÇÖt get a proper portion size for the price that was paid, disguised, foods not warm had to be heated in microwave no flavour, never order from here again. Chicken is Pink. Was for a resident in my care home and now scared incase something happens to them eating pink chicken | Ordered a delivery, delays for about an hour, then when I rang they said my order was on its way. Nope, marked as delivered but nothing came, absolute disgrace. Do not order from this poorly managed restaurant. | Found boss man's nail clippings in my food which caused me to chip my tooth. In response I brought a shopping trolley inside with my friend in it to attack boss for his actions. However no success was made in taking down this disgusting establishment. | As a half and half Chinese Mexican immigrant myself this fusion between Chinese and Mexican food was right up my street! My good friend aayush has been ranting and raving about this place, to be honest he always smells really yummy. Like curry. I hypothesised this was because of the food here. However he must just be taking curry baths because the food did not taste nearly as good as he smells. I did however enjoy the abundance of bossmanGÇÖs toenails in my food. Will be back to stalk handsome brown boys.
Boojum - Botanic Avenue is a Mexican restaurant in Belfast. Customer reviews say: One of the best burritos you'll get. They can be a bit stingy with the meat filling. I've also found the pork has lost its flavour over time. Expect to queue when you go - not because they are short staffed but because it's so popular. | Quick service, good quality, reasonable price and good value. But the only toilet has a broken handle and the music is too loud, hard to hold a conversation, please turn it down and call a plumber for extra =ƒîƒ | Staff to worried about pivk ups and not us customers who walk to this shop to be treated horrible by staff. Chicken was cold and said had no pinto beans when after serving me a takeaway order got them. Completely let down by this visit will not be back and will be telling everyone of my friends and family and Facebook people about how rude there staff have become. | Staff need an attitude check to be honest, especially the larger man who wears a beard net and the skinny guy who does the sauces.  I donGÇÖt get any beans or vegetables in my bowl so I always ask for extra rice, it usually isnGÇÖt an issue any other time IGÇÖve been in however the larger man told me heGÇÖd put it on at the end? IGÇÖm assuming he probably thoughts IGÇÖd just forget about itGÇª  When it came to actually getting my extra rice the skinnier guy pointed to it and said GÇ£you wonGÇÖt get much more in that mateGÇ¥ basically saying no extra, which just made things extremely awkward and most people would just drop it there but when youGÇÖre charging 13 quid for a burrito bowl you can bet that I will get what IGÇÖm paying for.  NEVER had an issue like this before and I understand that you guys were busy at the time but a bit of respect goes a long way. Also no manners whatsoever and rushing everyone through their orders is just nasty.  IGÇÖll be going to great Victoria street from now on never had a problem there | The tacos were swimming in liquid and were not very pleasant. Also, the chicken consisted of tiny bits of dark, shrivelled meat. I contacted Boojum and they did not respond.
39 Gordon Street is a Mexican restaurant in Belfast. Customer reviews say: Went to a drink and draw night here with a friend and it was so much fun, I don't think we interacted with the permanent staff only the staff that were running the drink and draw but they were all super lovely and really hosted a great evening | Good music.  CouldnGÇÖt quite comment on the price of drink though.  Friendly staff.  A bit quick to lift glasses of drink off an unoccupied table - whilst people are dancing.  Can be difficult to get served at the bar and limited seating.  Toilets surprisingly clean for such a busy place on a Saturday night | My first time being in 39 Gordon street and I loved it. The atmosphere was fantastic staff friendly and the music was brilliant. It was live singers and they were amazing will definitely be back =ƒÿü | I worked a drink and draw at this venue in their outside area and it was really lovely, great people, staff were polite and everyone attending the event loved the location, I would visit again just to relax and have a drink | nice bar in the city centre
The Spaniard is a Mexican restaurant in Belfast. Customer reviews say: The lady who served my Guinness didn't let it sit, and then wipe the head off with it with a knife.... Gf accepted it. Good service, Clean, Music, it's a nice pub. | The Comedy night with James have been amazing fun.  James Downey is a great host and fun comedian. I enjoyed the evening ( Craig the ging) even i didnt understand all the jokes. Staff at the bar was friendly and drinks avordable. | This bar used to be one of my favorites but the level of service has seriously went downhill. The girl that served us tonight was rude and totally incompetent. When we asked for drink it was a major hassle. Then when we went out for a cigarette a came back ahead had binned all our drinks. | Nice little bar whether you are upstairs or downstairs. Downstairs is brighter and the upstairs is a little more cozy and fun decor filled with images of the sacred heart plus some random dressy dogs.  The pina coladas are surprisingly delicious. | Lovely bar. But the attitude of Santa Claus bouncer needs to improve. Everyone was ready to leave and just singing the last played song in the bar, but he was very aggressive asking people to leave. We pointed out it was 5mins to closure time as a bit of banter to say "we're gonna leave after this" and he got very confrontational telling us to leave immediately.
Stereo is a Mexican restaurant in Belfast. Customer reviews say: Wow! We have been trying to get to Stereo from it opened after seeing the food photos on the socials. Today we arrived. From the moment you enter the customer service is exceptional and staff are passionate about their jobs and the food they sell encouraging us to try the Hash Browns. I had the Potato and Chorizo and the wife had the special, the BLT. We had to have side portions of hash browns and black pudding too. With a constant top up of water through out I wish they had a tasting menu to allow us a little of everything. Thank you for a brilliant experience. | The coffee and food was amazing. I had a strawberry and cream waffle with an oat latte. My partner had a hot chocolate with the breakfast sandwich. The servers were really nice and friendly. It took us a while to visit this place because there's usually a long queue but we got lucky and went on a week day and it was lovely. Would definitely go again but only on a week day. I voted the atmosphere as 4/5 because the only comfy seats there are the booth seats by the wall. | Go here if you can! Food was amazing and the coffee was fantastic. The service was awesome as well. We were passing through Belfast and stopped just on chance and we are so glad we did! Definitely a highlight to our Northern Ireland trip! | Absolutely amazing food, went for brunch and left very full and very happy. The guy who owns the place was lovely and friendly but also very knowledgeable about his food and the fancy filter coffee, it's so refreshing to eat somewhere that doesn't just sell boring fry ups! I particularly like the fact that as soon as you are seated they bring you some water!  I had the corn hummus on sourdough which came with poached eggs and I added sausages and it was fantastic, whatever they soak the tomatoes in was so good, even the sausages had a wee kick to them and my eggs were perfectly poached!  My hubby had the sliced potato and chorizo with crispy fried eggs and it was a lot of eating, he said it was the best brunch he'd had in a long time, they even make their own chorizo with pork mince nuts and spices it's a deconstructed version so none of those crap chorizo sausage slices.  You have to check this place out! My only complaint is that my cappuccino wasn't big enough =ƒÿå honestly though you must try this place! | Genuinely used to love this place but haven't been for a while. I came back hoping it would be as good as I remember it but genuinely entirely disappointed. I wasn't greeted at the door but instead called over to from halfway across the shop, where I was entirely misheard. Instead of coming over to clarify, the conversation continued from four metres away while I continue to try and ask if I can sit in. I got the hummus and grilled corn on toast and I was so disappointed the grilled corn was fridge cold and the hummus was for the most part inedible due to the odd texture. I said the hummus was inedible to staff and instead of offering any solution a supervisor told me it's because of the nutritional yeast in the product, which isn't advertised on the menu. Honestly really disappointed as I wanted to continue loving Stereo but after this experience I cannot recommend it
Haptik is a Mexican restaurant in Belfast. Customer reviews say: Visited here this morning with my wife. Our first time at Haptik, and have to say it was really excellent. Service was top notch and food was so delicious. Coffee was great as well. I had the Huevos Rancheros and my wife had the Baghdad Eggs. Really really good - would highly recommend. 5 stars G¡Én+Å | Great spot that we never tire of! Food is always fantastic and my iced latte hit the spot on a warm day =ƒÿü Breakfast roll and shakshuka! Took no time at all and service is always friendly. | Food is always beautifully presented and so delicious! Lots of choice for vegetarians and they were also happy to replace the meat in the special. Very friendly staff, always glad to come back whenever we're in Newtownards | Yes, I can buy and eat my own flowers for breakfast! Beautiful brunch enjoyed on my first, but imagine it will not be my last, visit to this fantastic cafe in Newtownards. Choosing gluten free cost me my sausages but the dish more than made up for my initial disappointment. Food quality was superb, portion generous and the gluten free bagel was a bonus. Would heartily recommend. Very friendly and helpful servers and I loved the interiors of this place as well. Note: at busy times you may have to wait for tables of four but I was quickly seated as I only needed a table of one. Totally worth a wait though if you ever find that there is one! | All round awesome.  Staff were friendly and attentive, atmosphere was nice and the food was outstanding!!  Mushrooms on toast really inspired me to try new things when cooking at home and my partners waffles were incredible.  We will definitely be back.
